Component,Type,Version in Repo,Latest Upstream Version,Source Path,Notes,OpenStack Software Version,OpenStack Version (Numeric),OpenStack Release Name,Compatibility,Recommended Upstream
wcmatch,python-package,8.5,10.1,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
yamllint,python-package,1.35.1,1.37.1,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
pre_commit,python-package,4.1.0,4.5.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
octavia_preconf.amphora_image_version,ansible-role-var,focal,N/A,ansible/roles/octavia_preconf/defaults/main.yml,Ansible role variable,Unknown,Unknown,Unknown,Unknown,Unknown
actions/checkout,github-action,v3,N/A,.github/workflows/genestack-intel.yml,GitHub Action,Unknown,Unknown,Unknown,Unknown,Unknown
actions/setup-python,github-action,v4,N/A,.github/workflows/genestack-intel.yml,GitHub Action,Unknown,Unknown,Unknown,Unknown,Unknown
python-version,ci-cd-tool,3.x,N/A,.github/workflows/genestack-intel.yml,CI/CD tool version,Unknown,Unknown,Unknown,Unknown,Unknown
actions/checkout,github-action,v3,N/A,.github/workflows/genestack-intel-suite.yml,GitHub Action,Unknown,Unknown,Unknown,Unknown,Unknown
actions/setup-python,github-action,v4,N/A,.github/workflows/genestack-intel-suite.yml,GitHub Action,Unknown,Unknown,Unknown,Unknown,Unknown
python-version,ci-cd-tool,3.x,N/A,.github/workflows/genestack-intel-suite.yml,CI/CD tool version,Unknown,Unknown,Unknown,Unknown,Unknown
mariadb,generic-image,11.4.3,N/A (requires registry access),base-kustomize/mariadb-cluster/base/mariadb-replication.yaml,Image: docker-registry1.mariadb.com/library/mariadb,Unknown,Unknown,Unknown,Unknown,Unknown
ceph,generic-image,master,N/A (requires registry access),base-kustomize/rook-operator/base/operator.yaml,Image: rook/ceph,Unknown,Unknown,Unknown,Unknown,Unknown
description,generic-image, Image,N/A (requires registry access),base-kustomize/rook-operator/base/crds.yaml,Image: description,Unknown,Unknown,Unknown,Unknown,Unknown
description,generic-image, Image,N/A (requires registry access),base-kustomize/rook-operator/base/crds.yaml,Image: description,Unknown,Unknown,Unknown,Unknown,Unknown
type,generic-image, string,N/A (requires registry access),base-kustomize/rook-operator/base/crds.yaml,Image: type,Unknown,Unknown,Unknown,Unknown,Unknown
description,generic-image, Image,N/A (requires registry access),base-kustomize/rook-operator/base/crds.yaml,Image: description,Unknown,Unknown,Unknown,Unknown,Unknown
description,generic-image, Image,N/A (requires registry access),base-kustomize/rook-operator/base/crds.yaml,Image: description,Unknown,Unknown,Unknown,Unknown,Unknown
mariadb,generic-image,11.4.3,N/A (requires registry access),base-kustomize/grafana/base/grafana-database.yaml,Image: docker-registry1.mariadb.com/library/mariadb,Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image," ""hashicorp/vault-k8s""",N/A (requires registry access),base-kustomize/vault/base/values.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image," ""hashicorp/vault""",N/A (requires registry access),base-kustomize/vault/base/values.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image," ""hashicorp/vault-csi-provider""",N/A (requires registry access),base-kustomize/vault/base/values.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image," ""hashicorp/vault""",N/A (requires registry access),base-kustomize/vault/base/values.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
kubernetes-entrypoint,generic-image,"latest""",N/A (requires registry access),base-kustomize/ovn/base/ovn-setup.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/kubernetes-entrypoint",Unknown,Unknown,Unknown,Unknown,Unknown
k8s,generic-image,1.26.11,N/A (requires registry access),base-kustomize/ovn/base/ovn-setup.yaml,Image: alpine/k8s,Unknown,Unknown,Unknown,Unknown,Unknown
ovs,generic-image,"v3.5.1-latest""",N/A (requires registry access),base-kustomize/ovn/base/ovn-setup.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/ovs",Unknown,Unknown,Unknown,Unknown,Unknown
k8s,generic-image,1.26.11,N/A (requires registry access),base-kustomize/ovn/base/ovn-setup.yaml,Image: alpine/k8s,Unknown,Unknown,Unknown,Unknown,Unknown
kube-ovn,generic-image,v1.13.13,N/A (requires registry access),base-kustomize/ovn-backup/base/ovn-backup.yaml,Image: docker.io/kubeovn/kube-ovn,Unknown,Unknown,Unknown,Unknown,Unknown
ceph,generic-image,v18.2.1,N/A (requires registry access),base-kustomize/rook-cluster/base/toolbox.yaml,Image: quay.io/ceph/ceph,Unknown,Unknown,Unknown,Unknown,Unknown
ceph,generic-image,v18.2.2,N/A (requires registry access),base-kustomize/rook-cluster/base/rook-cluster.yaml,Image: quay.io/ceph/ceph,Unknown,Unknown,Unknown,Unknown,Unknown
pullPolicy,generic-image, IfNotPresent,N/A (requires registry access),base-kustomize/vault-secrets-operator/base/values.yaml,Image: pullPolicy,Unknown,Unknown,Unknown,Unknown,Unknown
pullPolicy,generic-image, IfNotPresent,N/A (requires registry access),base-kustomize/vault-secrets-operator/base/values.yaml,Image: pullPolicy,Unknown,Unknown,Unknown,Unknown,Unknown
etcd-backup,generic-image,v0.0.5,N/A (requires registry access),base-kustomize/backups/base/etcd/etcd-backup.yaml,Image: csengteam/etcd-backup,Unknown,Unknown,Unknown,Unknown,Unknown
etcd-backup,generic-image,v0.0.5,N/A (requires registry access),base-kustomize/backups/base/etcd/etcd-backup.yaml,Image: csengteam/etcd-backup,Unknown,Unknown,Unknown,Unknown,Unknown
ceph,generic-image,v18.2.2,N/A (requires registry access),base-kustomize/rook-cluster-external-pvc/base/cluster-on-pvc.yaml,Image: quay.io/ceph/ceph,Unknown,Unknown,Unknown,Unknown,Unknown
ceph,generic-image,v18.2.1,N/A (requires registry access),base-kustomize/rook-cluster-external-pvc/base/toolbox.yaml,Image: quay.io/ceph/ceph,Unknown,Unknown,Unknown,Unknown,Unknown
kubernetes-entrypoint,generic-image,"latest""",N/A (requires registry access),base-kustomize/skyline/base/deployment-apiserver.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/kubernetes-entrypoint",Unknown,Unknown,Unknown,Unknown,Unknown
heat,generic-image,"2024.1-latest""",N/A (requires registry access),base-kustomize/skyline/base/deployment-apiserver.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/heat",caracal v1,2024.1,Caracal,❌ Mismatch,dalmatian v2.208
yq,generic-image,"latest""",N/A (requires registry access),base-kustomize/skyline/base/deployment-apiserver.yaml,"Image: ""ghcr.io/linuxserver/yq",Unknown,Unknown,Unknown,Unknown,Unknown
skyline,generic-image,"2024.2-latest""",N/A (requires registry access),base-kustomize/skyline/base/deployment-apiserver.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/skyline",dalmatian v2,2024.2,Dalmatian,OK,dalmatian v2
skyline,generic-image,"2024.2-latest""",N/A (requires registry access),base-kustomize/skyline/base/deployment-apiserver.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/skyline",dalmatian v2,2024.2,Dalmatian,OK,dalmatian v2
{get_param,generic-image, image_name,N/A (requires registry access),testing/build.yaml,Image: {get_param,Unknown,Unknown,Unknown,Unknown,Unknown
{get_param,generic-image, image_name,N/A (requires registry access),testing/build.yaml,Image: {get_param,Unknown,Unknown,Unknown,Unknown,Unknown
{get_param,generic-image, image_name,N/A (requires registry access),testing/build.yaml,Image: {get_param,Unknown,Unknown,Unknown,Unknown,Unknown
type,generic-image, string,N/A (requires registry access),testing/single.yaml,Image: type,Unknown,Unknown,Unknown,Unknown,Unknown
{ get_param,generic-image, image,N/A (requires registry access),testing/single.yaml,Image: { get_param,Unknown,Unknown,Unknown,Unknown,Unknown
enabled,generic-image, true,N/A (requires registry access),base-helm-configs/ironic/ironic-helm-overrides.yaml,Image: enabled,Unknown,Unknown,Unknown,Unknown,Unknown
registry,generic-image, docker.io,N/A (requires registry access),base-helm-configs/memcached/memcached-helm-overrides.yaml,Image: registry,Unknown,Unknown,Unknown,Unknown,Unknown
registry,generic-image, docker.io,N/A (requires registry access),base-helm-configs/memcached/memcached-helm-overrides.yaml,Image: registry,Unknown,Unknown,Unknown,Unknown,Unknown
registry,generic-image, docker.io,N/A (requires registry access),base-helm-configs/memcached/memcached-helm-overrides.yaml,Image: registry,Unknown,Unknown,Unknown,Unknown,Unknown
tag,generic-image," ""10.3.3""",N/A (requires registry access),base-helm-configs/grafana/grafana-helm-overrides.yaml,Image: tag,Unknown,Unknown,Unknown,Unknown,Unknown
## @param image.registry [default,generic-image, REGISTRY_NAME],N/A (requires registry access),base-helm-configs/prometheus-kube-event-exporter/values.yaml,Image: ## @param image.registry [default,Unknown,Unknown,Unknown,Unknown,Unknown
registry,generic-image, quay.io,N/A (requires registry access),base-helm-configs/prometheus-postgres-exporter/values.yaml,Image: registry,Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image, ghcr.io/openstack-exporter/openstack-exporter,N/A (requires registry access),base-helm-configs/monitoring/openstack-metrics-exporter/openstack-metrics-exporter-helm-overrides.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image, ghcr.io/rackerlabs/genestack-images/openstack-exporter,N/A (requires registry access),base-helm-configs/openstack-api-exporter-chart/values.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
"""{{ .Values.image.repository }}",generic-image,{{,N/A (requires registry access),base-helm-configs/openstack-api-exporter-chart/templates/all.yaml,"Image: ""{{ .Values.image.repository }}",Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image, ghcr.io/mariadb-operator/mariadb-operator,N/A (requires registry access),base-helm-configs/mariadb-operator/mariadb-operator-helm-overrides.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image, ghcr.io/mariadb-operator/mariadb-operator,N/A (requires registry access),base-helm-configs/mariadb-operator/mariadb-operator-helm-overrides.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image, ghcr.io/mariadb-operator/mariadb-operator,N/A (requires registry access),base-helm-configs/mariadb-operator/mariadb-operator-helm-overrides.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
tag,generic-image, v0.26.0,N/A (requires registry access),base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image: tag,Unknown,Unknown,Unknown,Unknown,Unknown
tag,generic-image, v2.49.1,N/A (requires registry access),base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image: tag,Unknown,Unknown,Unknown,Unknown,Unknown
tag,generic-image, v0.34.0,N/A (requires registry access),base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image: tag,Unknown,Unknown,Unknown,Unknown,Unknown
pullPolicy,generic-image, IfNotPresent,N/A (requires registry access),base-helm-configs/kube-ovn/kube-ovn-helm-overrides.yaml,Image: pullPolicy,Unknown,Unknown,Unknown,Unknown,Unknown
registry,generic-image, quay.io,N/A (requires registry access),base-helm-configs/prometheus-mysql-exporter/values.yaml,Image: registry,Unknown,Unknown,Unknown,Unknown,Unknown
repo,generic-image," ""gcr.io/cloud-sql-connectors/cloud-sql-proxy""",N/A (requires registry access),base-helm-configs/prometheus-mysql-exporter/values.yaml,Image: repo,Unknown,Unknown,Unknown,Unknown,Unknown
registry,generic-image, ghcr.io,N/A (requires registry access),base-helm-configs/postgres-operator/postgres-operator-helm-overrides.yaml,Image: registry,Unknown,Unknown,Unknown,Unknown,Unknown
spilo-16,generic-image,3.2-p3,N/A (requires registry access),base-helm-configs/postgres-operator/postgres-operator-helm-overrides.yaml,Image: ghcr.io/zalando/spilo-16,Unknown,Unknown,Unknown,Unknown,Unknown
logical-backup,generic-image,"v1.12.2""",N/A (requires registry access),base-helm-configs/postgres-operator/postgres-operator-helm-overrides.yaml,"Image: ""ghcr.io/zalando/postgres-operator/logical-backup",Unknown,Unknown,Unknown,Unknown,Unknown
pgbouncer,generic-image,"master-32""",N/A (requires registry access),base-helm-configs/postgres-operator/postgres-operator-helm-overrides.yaml,"Image: ""registry.opensource.zalan.do/acid/pgbouncer",Unknown,Unknown,Unknown,Unknown,Unknown
spilo-16,generic-image,3.2-p3,N/A (requires registry access),base-helm-configs/postgres-operator/postgres-operator-helm-overrides.yaml,Image: ghcr.io/zalando/spilo-16,Unknown,Unknown,Unknown,Unknown,Unknown
logical-backup,generic-image,"v1.12.2""",N/A (requires registry access),base-helm-configs/postgres-operator/postgres-operator-helm-overrides.yaml,"Image: ""ghcr.io/zalando/postgres-operator/logical-backup",Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image, quay.io/prometheus/pushgateway,N/A (requires registry access),base-helm-configs/prometheus-pushgateway/values.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
oauth-proxy,generic-image,v1.1.0,N/A (requires registry access),base-helm-configs/prometheus-pushgateway/values.yaml,Image: openshift/oauth-proxy,Unknown,Unknown,Unknown,Unknown,Unknown
k8s,generic-image,1.26.11,N/A (requires registry access),manifests/utils/utils-kubectl.yaml,Image: alpine/k8s,Unknown,Unknown,Unknown,Unknown,Unknown
jessie-dnsutils,generic-image,1.3,N/A (requires registry access),manifests/utils/utils-dnsutils.yaml,Image: registry.k8s.io/e2e-test-images/jessie-dnsutils,Unknown,Unknown,Unknown,Unknown,Unknown
openstack-client,generic-image,latest,N/A (requires registry access),manifests/utils/utils-openstack-client-admin.yaml,Image: ghcr.io/rackerlabs/genestack-images/openstack-client,Unknown,Unknown,Unknown,Unknown,Unknown
